uuid	legacy_id	short_name	name	entry_date	types_uuids	layers_uuids	types_labels	layers_labels
3c9705bf-2b7d-58a8-934b-9e9ffdb8fda2		Intr	Introit	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Other""]"	"[""Gradual/Antiphonal""]"
0acf5810-a9a8-51fb-abff-cc8f83e353fe		IntrV	Introit Verse	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Other""]"	"[""Gradual/Antiphonal""]"
03af071c-02aa-51ee-97df-d221c3d6d466		Trop	Trope	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa"", ""8a4077b5-9979-5af3-a14f-24d3ed4f45ea""]"	"[""Mass"", ""Office"", ""Other""]"	"[""Gradual/Antiphonal"", ""Lectionary""]"
ddba3b86-bca2-5e42-b85c-1c185878e140		IntrTrop	Introit Trope	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Other""]"	"[""Gradual/Antiphonal""]"
dfa59a9d-a7d1-5dce-a2d0-78ec2534d6b6		Tr	Tract	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Other""]"	"[""Gradual/Antiphonal""]"
241c858c-7a8d-55a6-b440-6302d581c0fb		TrV	Tract verse	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Other""]"	"[""Gradual/Antiphonal""]"
8fee6537-2b7f-546e-af55-ea5ac3820957		Gr	Gradual	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
8ffc8d83-80c4-5e18-bcd7-1abed6f31b4c		GrV	Gradual Verse	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
961b1cc9-a8d7-5923-ae05-3468b5304d30		CantD	Canticle of Daniel	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Other""]"	"[""Gradual/Antiphonal""]"
372db078-c771-5f34-ad35-fb6491db7b6f		All	Alleluia	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Mass"", ""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
