uuid	legacy_id	short_name	name	type_uuid	entry_date	type_label
a5bab9ed-7df3-5477-8a7b-2bee862ab727		M1	Single or First Mass (the only one of a day or feast or morning Mass)	55c19bba-2c11-5dfa-8e6a-53006539eca4	2026-04-27T09:21:03.673492+00:00	Mass
697cc691-d2d2-5791-95f6-6a1bf5228e6b		M2	Second Mass (high mass)	55c19bba-2c11-5dfa-8e6a-53006539eca4	2026-04-27T09:21:03.673492+00:00	Mass
c1e40ce1-713e-5db0-9eb1-5d117a08b335		M3	Third Mass	55c19bba-2c11-5dfa-8e6a-53006539eca4	2026-04-27T09:21:03.673492+00:00	Mass
26e133f0-487c-54c0-92f5-b560142c65f8		V1	First Vespers	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
129ed045-1324-5455-ac8f-faf189fefd78		C1	First Compline	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
61d4a7a3-cd3f-5788-96fd-01867689ee1d		M	Matins	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
05911bff-3858-5a78-b08c-0fb7d8529d90		N1	First Nocturn	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
cc334ca2-ab5f-56ae-b11c-562d027484e2		N2	Second Nocturn	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
b555caa6-5500-5745-8b16-e85e4d7c494c		N3	Third Nocturn	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
37e145bb-c080-5f1b-9977-80b5b94efd86		L	Lauds	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
326d76f7-f24e-563b-a2c0-bdb7d8e410af		I	Prime	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
4a33c05e-c13f-576e-9205-5aed94fdc449		I+	Long Prime (current psalmody on Sundays)	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
e7531819-9ebc-50e9-a772-37927a1823bf		III	Terce	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
28661531-8631-567d-a952-0bc08d857290		VI	Sext	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
8db68cee-dccd-556d-9138-9aa57434bc11		IX	None	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
da6ea2bb-ef30-5e3e-9e7a-01962274b139		V	Vespers (single)	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
f4f95a34-c253-5104-bcc4-15c53f4b6b45		V2	Second Vespers	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
9085c338-65ee-5b96-8b0e-6f727441db62		C	Compline (single)	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
aa4034db-fca4-5af4-ad90-46a1d5a57eb9		C2	Second Compline	d73421c6-ff78-5b2d-bfcd-c20d72c54082	2026-04-27T09:21:03.673492+00:00	Office
