uuid	legacy_id	short_name	name	kind	entry_date	types_uuids	types_labels
2a8f3f22-1753-5726-88e5-f6593077450c		Adv	Advent 	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
62655de3-b3f2-5e22-8832-095a747c4be2		Nat	Christmastide 	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
3b0a2d06-bde5-5323-93e8-a6e0dfd71705		Ep	Epiphanytide 	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
d96e074f-3c8c-5c79-8810-45d20ee65428		LXX	Septuagesima 	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
05e099da-1061-518a-a73e-99442fa34c88		Qu	Lent 	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
fbc2f591-9aa8-517c-9a55-cc88e4b99611		Pasc	Eastertide 	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
0462a187-a1a2-5f8a-8819-c4adfdeb45b7		Pent	Whitsuntide 	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
d35e59cc-2616-5524-b35e-5b9bed691e41		Trin	Trinitytide	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
52049bf8-ee91-59ca-8585-26a2dbb53a73		Gen	General	S	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
57aa6184-95f8-566f-8f4b-86cfce209877		Jan	January	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
dab9258e-11d3-5689-8a9f-dd4b57c28d2f		Feb	February	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
7ec975dd-47c0-59e0-ba55-a2b92a887937		Mar	March	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
6b6233aa-33b7-5ff9-8187-c4f43c080adf		Apr	April	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
b147afdc-eabc-58c5-ae5b-dddeccb16718		May	May	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
8f542311-5efc-5841-a058-b0f9a137060f		Jun	June	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
2c23efe3-899c-581f-9414-3494afc934dc		Jul	July	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
41cc3314-b5ba-5a86-b27b-710c2135067b		Aug	August	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
ba51c25b-e437-5d1e-9326-c315b57f0424		Sep	September	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
912bd4c4-f34c-5b46-a09b-9ef788c2d305		Oct	October	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
5ece6936-5f74-565a-b16e-ddaa995e8929		Nov	November	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
a4c5e15a-8e87-52c9-8d5b-bb4bd3ba8efb		Dec	December	M	2026-04-27T09:21:05.302833+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""d73421c6-ff78-5b2d-bfcd-c20d72c54082""]"	"[""Mass"", ""Office""]"
