uuid	legacy_id	usu_id	cantus_id	co_no	formula_uuid	standard_incipit	standard_full_text	entry_date
72dd022d-b775-5dde-8d95-c9e19a71f526		1	g02104			Accipite iucunditatem	Accipite iucunditatem gloriae vestrae alleluia gratias agentes Deo alleluia qui vos ad caelestia regna vocavit alleluia alleluia alleluia.	2026-04-27T09:21:05.801210+00:00
ed540b23-1989-53c7-9712-d5994ceccd52		2	g00489			Ad te levavi	Ad te levavi animam meam Deus meus in te confido non erubescam neque irrideant me inimici mei etenim universi qui te exspectant non confundentur.	2026-04-27T09:21:05.801210+00:00
a5207e4f-084b-5dde-819c-3c6b1e730396		3				Ad vesperum demorabitur fletus	Ad vesperum demorabitur fletus et ad matutinum laetitia.	2026-04-27T09:21:05.801210+00:00
bbe8a24f-b246-5ab0-9421-b7473748e3b8		4	g00625			Adorate Deum	Adorate Deum omnes angeli eius audivit et laetata est Sion et exsultaverunt filiae Iudae.	2026-04-27T09:21:05.801210+00:00
2c5263a9-51b1-5446-8482-d22d1d18fd17		5				Adorna thalamum	Adorna thalamum tuum Ierusalem et suscipe Christum regem puerum in templo sedentem in medio doctorum disserentem quem Virgo concepit Virgo peperit Virgo post partum quem genuit adoravit.	2026-04-27T09:21:05.801210+00:00
2485dac4-4afd-5379-89ff-0f2d6ec43829		6				Agonista Vincentius	Agonista Vincentius exivit vincens ut vinceret et consummatus in brevi explevit tempora multa iustus de angustia liberatus est dicens.	2026-04-27T09:21:05.801210+00:00
128ea9da-d040-5769-80c6-e1cb84175964		7				Alma Virgo virginum	Alma Virgo virginum sancta Dei Genitrix pro devotis porrige ancillis tuis preces obnixas ad Filium quae parturientium benigna es auxiliatrix.	2026-04-27T09:21:05.801210+00:00
6993cb53-36c3-5189-8fc4-4e5367306235		8	g02763			Angelis suis	Angelis suis Deus mandavit de te ut custodiant te in omnibus viis tuis in manibus portabunt te ne forte offendas ad lapidem pedem tuum.	2026-04-27T09:21:05.801210+00:00
d0d39dd5-4785-5d2c-9624-d32ed466cd9e		9	g01611			Angelus Domini apparuit	Angelus Domini apparuit in somnis Ioseph dicens surge et accipe puerum et matrem eius et fuge in Aegyptum.	2026-04-27T09:21:05.801210+00:00
9413afe8-d3b6-59f8-8795-00163ae78fb7		10				Antequam comedam suspiro	Antequam comedam suspiro ad te aeterne medice quia induta est caro mea putredine et sordibus pulveris cutis mea aruit contracta est respice Domine et miserere mei quia tibi soli peccavi.	2026-04-27T09:21:05.801210+00:00
9d48618d-475f-5fcd-8443-9cda49997217		11	g01020			Aqua sapientiae	Aqua sapientiae potabit eos alleluia firmabitur in illis et non flectetur alleluia et exaltabit eos in aeternum alleluia alleluia.	2026-04-27T09:21:05.801210+00:00
d0fa4794-0ec3-57b9-bee7-492984e3e6b4		12				Astitit regina	Astitit regina a dextris tuis proximae eius offerentur tibi.	2026-04-27T09:21:05.801210+00:00
380d411f-5ade-5a24-ba55-0d3aa531a8d5		13				Attendite populi	Attendite populi sanguinis Agni proni virtutem exspectantes quo Maria gemitu ante Crucem deploravit.	2026-04-27T09:21:05.801210+00:00
7c400a15-a532-5cdd-829a-319e3cf88dcf		14				Audivi vocem	Audivi vocem de caelo venientem venite omnes virgines sapientissimae oleum recondite in vasis vestris dum sponsus advenit.	2026-04-27T09:21:05.801210+00:00
6c2c9afb-e298-5565-9b8d-b48c4bab7403		15	g00670			Audivit Dominus	Audivit Dominus et misertus est mihi Dominus factus est adiutor meus.	2026-04-27T09:21:05.801210+00:00
6d978f3c-fdea-5872-bded-f0d0c848fbc9		16				Ave alme martyr	Ave alme martyr nunc Blasi Christi cura omni et morbo cephasque Dei dono es in perpetuum.	2026-04-27T09:21:05.801210+00:00
0d35c1e9-0d2b-5bbd-bc54-c8d92c3d587c		17				Ave gemma	Ave gemma totius populi flos cleri confessor Domini Nicolae.	2026-04-27T09:21:05.801210+00:00
6ae8338e-267e-59b5-8157-d8108b8aff2b		18				Ave spes nostra	Aves spes nostra Dei Genitrix Virgo Maria quae meruisti portare regem caelorum et Dominum alleluia alleluia.	2026-04-27T09:21:05.801210+00:00
53bb1a20-89b9-5577-9c10-2ef73ae8473e		19				Beatus Martinus	Beatus Martinus obitum suum longe ante praescivit dixitque fratribus dissolutionem sui corporis imminere quia indicavit se iam resolvi.	2026-04-27T09:21:05.801210+00:00
93a17eb3-4726-52f5-a4ff-bb01580950e2		20				Beatus Nicolaus	Beatus Nicolaus pontifex summus mandatis obsequens sanctis aetherea regna petiit quem fidei meritis Christus dare praesulem praevidit suo populo.	2026-04-27T09:21:05.801210+00:00
f2da4382-1d7a-58b0-9ee5-b849f9cb70d9		21				Beatus quem elegisti	Beatus quem elegisti et assumpsisti Domine habitabit in tabernaculis tuis.	2026-04-27T09:21:05.801210+00:00
3387a85b-5386-5220-b5f4-43ecd00881bf		22				Beatus Theobaldus	Beatus Theobaldus prosapia nobili editus cum puerillem teneret aetatem civis huius saeculi spretis divitiis pauper Christum pauperem secutus est.	2026-04-27T09:21:05.801210+00:00
727364eb-e0d8-5909-8fae-2f7cb6641669		23				Benedic anima mea	Benedic anima mea Domino et noli oblivisci omnes retributiones eius quia non secundum peccata nostra fecit nobis neque secundum iniquitates nostras retribuit nobis.	2026-04-27T09:21:05.801210+00:00
cefeb4e4-ba46-5df4-9cac-2f9be6b3274d		24	g02711			Benedicite Domino omnes angeli	Benedicite Dominum omnes angeli eius alleluia potentes virtute qui facitis verbum eius alleluia ad audiendam vocem sermonum eius alleluia alleluia.	2026-04-27T09:21:05.801210+00:00
8a95fbae-6b3a-54f1-adca-21bd89007aac		25	g01116			Benedicta sit	Benedicta sit sancta Trinitas atque indivisa Unitas confitebimur ei quia fecit nobiscum misericordiam suam.	2026-04-27T09:21:05.801210+00:00
5bf08393-ef9f-5759-b492-af908ed8f02f		26				Benedicta tu a Deo	Benedicta tu a Deo tuo Maria in omni tabernaculo Iacob quoniam in omni gente quae audierit nomen tuum magnificabitur super te Deus Israel.	2026-04-27T09:21:05.801210+00:00
2dc60ee9-163b-593a-bb18-cba0d753119e		27				Benedictus Dominus	Benedictus Dominus qui non amovit orationem meam et misericordiam suam a me sed exaudivit et attendit voci deprecationis a me.	2026-04-27T09:21:05.801210+00:00
34cdaeae-c432-5eca-82b1-2b3102ee4392		28	g03189			Caeli enarrant	Caeli enarrant gloriam Dei et opera manuum eius annuntiat firmamentum dies diei eructat verbum et nox nocti indicat scientiam.	2026-04-27T09:21:05.801210+00:00
5e574ed0-d1ee-549b-9842-1c9784439b7e		29				Canite tuba	Canite tuba in Sion sonet Mariae nomen in auribus nostris et corda nostra exsultabunda iubilent.	2026-04-27T09:21:05.801210+00:00
af4e198c-a836-5e0c-9dea-31b4df6420fd		30	g01063			Cantate Domino canticum novum	Cantate Domino canticum novum alleluia quia mirabilia fecit Dominus alleluia ante conspectum gentium revelavit iustitiam suam alleluia alleluia.	2026-04-27T09:21:05.801210+00:00
d3e0bd10-5917-54b5-928e-01a149c7acf7		31				Canticum laetitiae	"Canticum laetitiae cantent omnes populi 
rectores Ecclesiae laudate nomen Domini 
festum Barbarae eiusque martyrii 
celebrantes hodie de quo gaudent angeli."	2026-04-27T09:21:05.801210+00:00
6c9fcce2-7607-5d21-a89b-ef7a08287b6b		32	g01109			Caritas Dei	Caritas Dei diffusa est in cordibus vestris alleluia per inhabitantem Spiritum eius in vobis alleluia alleluia.	2026-04-27T09:21:05.801210+00:00
99eeda8f-36cf-5323-bbbf-c78c8ed226b8		725				Celebremus exsultantes beati Blasii devote sollemnium	"Celebremus exsultantes beati Blasii devote sollemnium 
iubilemus laudantes pia mente eiusque nobilissimum martyrium 
per quod Deus traxit eum hodie ad caeli gaudium Domini."	2026-04-27T09:21:05.801210+00:00
a1a5b3e8-fa34-5614-9609-897ed7e99709		33				Celebremus exsultantes sancti festa Blasii	"Celebremus exsultantes sancti festa Blasii 
ut in caelo mereamur eius esse socii 
cuius prece nobis Deus donet caeli gaudia. "	2026-04-27T09:21:05.801210+00:00
a5651317-d90c-5e49-b2bf-235ff0652605		34				Celebremus omnes	Celebremus omnes cum gaudio diem festum dignum obsequio Magdalenae cuius translatio mundo fulget virtutum radio cui cantat sanctorum concio alleluia.	2026-04-27T09:21:05.801210+00:00
a4627fd7-25e8-56be-9cb2-eb2888634ea9		35	g02621			Christe Deus plebem tuam	"Christe Deus plebem tuam miserator conserva 
per beati Saturnini praedicanda merita 
nos per eius interventum a peccatis libera 
paradisi mereamur introire gaudia."	2026-04-27T09:21:05.801210+00:00
da256f89-12e8-59fe-85b4-aa0ac0b15bb7		36				Christo confixa sum Cruci	Christo confixa sum Cruci nemo mihi molestus sit vivo autem iam non ego vivit vero in me Christus quoniam dilexit me et tradidit semetipsum propter me.	2026-04-27T09:21:05.801210+00:00
6eb3b612-3e58-5af4-b8a8-4374ebe40eb8		37				Christus factus est	Christus factus est pro nobis oboediens usque ad mortem mortem autem Crucis propter quod et Deus exaltavit illum et dedit illi nomen quod est super omne nomen.	2026-04-27T09:21:05.801210+00:00
ed3414f4-df2a-51e5-a14a-7beedd74f9ab		38	g01096			Cibavit eos	Cibavit eos ex adipe frumenti alleluia et de petra melle saturavit eos alleluia alleluia alleluia.	2026-04-27T09:21:05.801210+00:00
96fc3a72-c1f5-5815-9b4a-0d7670242d6f		39	g00631			Circumdederunt me	Circumdederunt me gemitus mortis dolores inferni circumdederunt me in tribulatione mea invocavi Dominum et exaudivit de templo sancto suo vocem meam.	2026-04-27T09:21:05.801210+00:00
da117d70-5dfd-5466-a2f8-28ec7d6f5f50		40				Clamaverunt ad te	Clamaverunt ad te Domine in tempore afflictionis suae et tu de caelo exaudisti eos.	2026-04-27T09:21:05.801210+00:00
7d3cd5d4-b352-56ce-9c3f-971f21871ec2		41	g00113			Clamaverunt iusti	Clamaverunt iusti et Dominus exaudivit eos et ex omnibus tribulationibus liberavit eos.	2026-04-27T09:21:05.801210+00:00
7b4896f3-8eaa-53ad-a24d-5508ad4e5237		42				Cogitavi cum cordis amaritudine	Cogitavi cum cordis amaritudine vias meas et converti ex toto corde pedes meos ab eis ut digne servarem mandata tua Domine.	2026-04-27T09:21:05.801210+00:00
3dea71c4-3e43-52e7-a042-c9618fa3961a		43	g01396			Cognovi Domine	Cognovi Domine quia aequitas iudicia tua et in veritate tua humiliasti me confige timore tuo carnes meas a mandatis tuis non repellas.	2026-04-27T09:21:05.801210+00:00
e00c3344-2dd5-5081-9c03-501cf2b9ce5b		44				Collaudemus mundi	Collaudemus mundi creatorem Georgii festum celebrantes quem milites habent in decorem martyrio cuius gratulantes sunt Deumque laudantes alleluia.	2026-04-27T09:21:05.801210+00:00
03b1bb91-eb46-57d4-8815-790fbf1aa279		45				Collaudemus venerantes	"Collaudemus venerantes Christi sacrum praesulem 
nos adulti et infantes Lazarum praenobilem 
quem a morte Christus vocavit per vocem terribilem 
Massiliamque decoravit hic fundendo sanguinem."	2026-04-27T09:21:05.801210+00:00
3d9bd11b-0227-5ca2-8d47-f3fc63a628d8		46				Concrescat ut pluvia	Concrescat ut pluvia misericordia Domini fluat ut ros eloquium eius quasi imber super herbam et quasi stillae super gramina.	2026-04-27T09:21:05.801210+00:00
f9aad263-5a67-5eaa-8594-e28bde599e1a		47	g00331			Confessio et pulchritudo	Confessio et pulchritudo in conspectu eius sanctitas et magnificentia in sanctificatione eius.	2026-04-27T09:21:05.801210+00:00
d7e4fe9a-6029-5f5b-a71b-9dcd70cd9c4e		48				Confessionem et decorem	Confessionem et decorem induisti amictus lumine sicut vestimento.	2026-04-27T09:21:05.801210+00:00
9ef6166e-05d7-50d5-a6b1-76d871016340		49				Congratulamini omnes	Congratulamini omnes in Domino diem beati Rochi commemorantes in cuius commemoratione laetatur Ecclesia plebs exsultat et angeli dulces dant melodias dicentes gloria tibi Domine qui talem virum confessorem elegisti.	2026-04-27T09:21:05.801210+00:00
6f845372-0417-5519-af6d-198ae7844eea		50				Congregati sunt	Congregati sunt inimici nostri et gloriantur in virtute sua contere fortitudinem eorum Domine et disperge illos ut cognoscant quia non est alius qui pugnet pro nobis nisi tu Deus noster.	2026-04-27T09:21:05.801210+00:00
73b4f36d-3ecb-5e7a-b9c4-544e85c0c730		51				Conturbatus est	Conturbatus est in tribulatione oculus meus anima mea et venter meus quoniam defecit in dolore vita mea.	2026-04-27T09:21:05.801210+00:00
